Job runs on node:
eu-g5-047-2
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=50
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 10 -e 50 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3
Running AE with 8 input qubit and 1 trash qubit in batches of 10

Epoch 22, 	Batch:1, 	Train Loss = 0.263807, 	Val Loss = 0.303880
Epoch 22, 	Batch:2, 	Train Loss = 0.269344, 	Val Loss = 0.303880
Epoch 22, 	Batch:3, 	Train Loss = 0.273261, 	Val Loss = 0.303880
Epoch 22, 	Batch:4, 	Train Loss = 0.259878, 	Val Loss = 0.303880
Epoch 22, 	Batch:5, 	Train Loss = 0.262579, 	Val Loss = 0.303880
Epoch 22, 	Batch:6, 	Train Loss = 0.269717, 	Val Loss = 0.303880
Epoch 22, 	Batch:7, 	Train Loss = 0.262170, 	Val Loss = 0.303880
Epoch 23, 	Batch:0, 	Train Loss = 0.262184, 	Val Loss = 0.312661
Epoch 23, 	Batch:1, 	Train Loss = 0.260165, 	Val Loss = 0.312661
Epoch 23, 	Batch:2, 	Train Loss = 0.294571, 	Val Loss = 0.312661
Epoch 23, 	Batch:3, 	Train Loss = 0.310655, 	Val Loss = 0.312661
Epoch 23, 	Batch:4, 	Train Loss = 0.267349, 	Val Loss = 0.312661
Epoch 23, 	Batch:5, 	Train Loss = 0.246707, 	Val Loss = 0.312661
Epoch 23, 	Batch:6, 	Train Loss = 0.253526, 	Val Loss = 0.312661
Epoch 23, 	Batch:7, 	Train Loss = 0.248250, 	Val Loss = 0.312661
Epoch 24, 	Batch:0, 	Train Loss = 0.340782, 	Val Loss = 0.366973
Epoch 24, 	Batch:1, 	Train Loss = 0.312746, 	Val Loss = 0.366973
Epoch 24, 	Batch:2, 	Train Loss = 0.292765, 	Val Loss = 0.366973
Epoch 24, 	Batch:3, 	Train Loss = 0.288202, 	Val Loss = 0.366973
Epoch 24, 	Batch:4, 	Train Loss = 0.266729, 	Val Loss = 0.366973
Epoch 24, 	Batch:5, 	Train Loss = 0.259703, 	Val Loss = 0.366973
Epoch 24, 	Batch:6, 	Train Loss = 0.253308, 	Val Loss = 0.366973
Epoch 24, 	Batch:7, 	Train Loss = 0.251472, 	Val Loss = 0.366973
Epoch 25, 	Batch:0, 	Train Loss = 0.229113, 	Val Loss = 0.269489
Epoch 25, 	Batch:1, 	Train Loss = 0.264902, 	Val Loss = 0.269489
Epoch 25, 	Batch:2, 	Train Loss = 0.273639, 	Val Loss = 0.269489
Epoch 25, 	Batch:3, 	Train Loss = 0.282093, 	Val Loss = 0.269489
Epoch 25, 	Batch:4, 	Train Loss = 0.271015, 	Val Loss = 0.269489
Epoch 25, 	Batch:5, 	Train Loss = 0.270238, 	Val Loss = 0.269489
Epoch 25, 	Batch:6, 	Train Loss = 0.263581, 	Val Loss = 0.269489
Epoch 25, 	Batch:7, 	Train Loss = 0.260024, 	Val Loss = 0.269489
Epoch 26, 	Batch:0, 	Train Loss = 0.250327, 	Val Loss = 0.242869
Epoch 26, 	Batch:1, 	Train Loss = 0.263144, 	Val Loss = 0.242869
Epoch 26, 	Batch:2, 	Train Loss = 0.253037, 	Val Loss = 0.242869
Epoch 26, 	Batch:3, 	Train Loss = 0.194012, 	Val Loss = 0.242869
Epoch 26, 	Batch:4, 	Train Loss = 0.182353, 	Val Loss = 0.242869
Epoch 26, 	Batch:5, 	Train Loss = 0.160966, 	Val Loss = 0.242869
Epoch 26, 	Batch:6, 	Train Loss = 0.150791, 	Val Loss = 0.242869
Epoch 26, 	Batch:7, 	Train Loss = 0.155642, 	Val Loss = 0.242869
Epoch 27, 	Batch:0, 	Train Loss = 0.171363, 	Val Loss = 0.193035
Epoch 27, 	Batch:1, 	Train Loss = 0.173432, 	Val Loss = 0.193035
Epoch 27, 	Batch:2, 	Train Loss = 0.192118, 	Val Loss = 0.193035
Epoch 27, 	Batch:3, 	Train Loss = 0.182788, 	Val Loss = 0.193035
Epoch 27, 	Batch:4, 	Train Loss = 0.182415, 	Val Loss = 0.193035
Epoch 27, 	Batch:5, 	Train Loss = 0.182868, 	Val Loss = 0.193035
Epoch 27, 	Batch:6, 	Train Loss = 0.184348, 	Val Loss = 0.193035
Epoch 27, 	Batch:7, 	Train Loss = 0.183443, 	Val Loss = 0.193035
Epoch 28, 	Batch:0, 	Train Loss = 0.143558, 	Val Loss = 0.103190
Epoch 28, 	Batch:1, 	Train Loss = 0.182959, 	Val Loss = 0.103190
Epoch 28, 	Batch:2, 	Train Loss = 0.191581, 	Val Loss = 0.103190
Epoch 28, 	Batch:3, 	Train Loss = 0.198961, 	Val Loss = 0.103190
Epoch 28, 	Batch:4, 	Train Loss = 0.182622, 	Val Loss = 0.103190
Epoch 28, 	Batch:5, 	Train Loss = 0.170242, 	Val Loss = 0.103190
