Job runs on node:
eu-g9-040-4
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=300
OPTSTEP=0.2
BATCHSIZE=8
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=1
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 8 -e 300 -v 0.2 -sz 0.2 -of 'runs/ed' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -njx

Epoch 25, 	Batch:2, 	Train Loss = 0.133243, 	Val Loss = 0.140676
Epoch 25, 	Batch:3, 	Train Loss = 0.114777, 	Val Loss = 0.140676
Epoch 25, 	Batch:4, 	Train Loss = 0.117656, 	Val Loss = 0.140676
Epoch 25, 	Batch:5, 	Train Loss = 0.128308, 	Val Loss = 0.140676
Epoch 25, 	Batch:6, 	Train Loss = 0.127957, 	Val Loss = 0.140676
Epoch 25, 	Batch:7, 	Train Loss = 0.137016, 	Val Loss = 0.140676
Epoch 25, 	Batch:8, 	Train Loss = 0.144010, 	Val Loss = 0.140676
Epoch 25, 	Batch:9, 	Train Loss = 0.150391, 	Val Loss = 0.140676
Epoch 26, 	Batch:0, 	Train Loss = 0.130928, 	Val Loss = 0.114825
Epoch 26, 	Batch:1, 	Train Loss = 0.109833, 	Val Loss = 0.114825
Epoch 26, 	Batch:2, 	Train Loss = 0.115043, 	Val Loss = 0.114825
Epoch 26, 	Batch:3, 	Train Loss = 0.149155, 	Val Loss = 0.114825
Epoch 26, 	Batch:4, 	Train Loss = 0.166920, 	Val Loss = 0.114825
Epoch 26, 	Batch:5, 	Train Loss = 0.151216, 	Val Loss = 0.114825
Epoch 26, 	Batch:6, 	Train Loss = 0.148983, 	Val Loss = 0.114825
Epoch 26, 	Batch:7, 	Train Loss = 0.149053, 	Val Loss = 0.114825
Epoch 26, 	Batch:8, 	Train Loss = 0.150961, 	Val Loss = 0.114825
Epoch 26, 	Batch:9, 	Train Loss = 0.158088, 	Val Loss = 0.114825
Epoch 27, 	Batch:0, 	Train Loss = 0.214655, 	Val Loss = 0.113074
Epoch 27, 	Batch:1, 	Train Loss = 0.184866, 	Val Loss = 0.113074
Epoch 27, 	Batch:2, 	Train Loss = 0.160543, 	Val Loss = 0.113074
Epoch 27, 	Batch:3, 	Train Loss = 0.160402, 	Val Loss = 0.113074
Epoch 27, 	Batch:4, 	Train Loss = 0.163938, 	Val Loss = 0.113074
Epoch 27, 	Batch:5, 	Train Loss = 0.164372, 	Val Loss = 0.113074
Epoch 27, 	Batch:6, 	Train Loss = 0.159787, 	Val Loss = 0.113074
Epoch 27, 	Batch:7, 	Train Loss = 0.153413, 	Val Loss = 0.113074
Epoch 27, 	Batch:8, 	Train Loss = 0.149309, 	Val Loss = 0.113074
Epoch 27, 	Batch:9, 	Train Loss = 0.150717, 	Val Loss = 0.113074
Epoch 28, 	Batch:0, 	Train Loss = 0.157118, 	Val Loss = 0.157926
Epoch 28, 	Batch:1, 	Train Loss = 0.148387, 	Val Loss = 0.157926
Epoch 28, 	Batch:2, 	Train Loss = 0.136920, 	Val Loss = 0.157926
Epoch 28, 	Batch:3, 	Train Loss = 0.138118, 	Val Loss = 0.157926
Epoch 28, 	Batch:4, 	Train Loss = 0.128721, 	Val Loss = 0.157926
Epoch 28, 	Batch:5, 	Train Loss = 0.114817, 	Val Loss = 0.157926
Epoch 28, 	Batch:6, 	Train Loss = 0.108561, 	Val Loss = 0.157926
Epoch 28, 	Batch:7, 	Train Loss = 0.101836, 	Val Loss = 0.157926
Epoch 28, 	Batch:8, 	Train Loss = 0.103809, 	Val Loss = 0.157926
Epoch 28, 	Batch:9, 	Train Loss = 0.103599, 	Val Loss = 0.157926
Epoch 29, 	Batch:0, 	Train Loss = 0.112968, 	Val Loss = 0.130791
Epoch 29, 	Batch:1, 	Train Loss = 0.095178, 	Val Loss = 0.130791
Epoch 29, 	Batch:2, 	Train Loss = 0.106843, 	Val Loss = 0.130791
Epoch 29, 	Batch:3, 	Train Loss = 0.116863, 	Val Loss = 0.130791
Epoch 29, 	Batch:4, 	Train Loss = 0.120559, 	Val Loss = 0.130791
Epoch 29, 	Batch:5, 	Train Loss = 0.126948, 	Val Loss = 0.130791
Epoch 29, 	Batch:6, 	Train Loss = 0.124130, 	Val Loss = 0.130791
